CAS
1212,Heather/Tall Oaks Nbnd
1204,Hethwood Square on Hethwood
1215,Prices Fork/Huntington Ebnd
1203,Prices Fork/Huntington Wbnd
1218,Prices Fork/Old Glade Ebnd
1200,Prices Fork/Old Glade Wbnd
1216,Prices Fork/Plantation Ebnd
1202,Prices Fork/Plantation Wbnd
1110,Squires Ebnd
1113,Squires Wbnd
1106,Stanger/Old Turner Wbnd
1209,Stroubles Cr
1222,Tall Oaks/Colonial Sbnd
1211,Tall Oaks/Copper Croft Nbnd
1206,Tall Oaks/Foxhunt Ebnd
1208,Tall Oaks/Foxtrail Sbnd
1207,Tall Oaks/Heather Ebnd
1205,Tall Oaks/Hethwood Ebnd
1201,Vet School Wbnd
1103,West Campus/Perry Nbnd
HWA
1101,Burruss Hall
1102,Davidson Hall
1214,Heather/Huntington Nbnd
1213,Heather/Plymouth Nbnd
1220,Heather/Plymouth Sbnd
1212,Heather/Tall Oaks Nbnd
1215,Prices Fork/Huntington Ebnd
1218,Prices Fork/Old Glade Ebnd
1200,Prices Fork/Old Glade Wbnd
1216,Prices Fork/Plantation Ebnd
1202,Prices Fork/Plantation Wbnd
1106,Stanger/Old Turner Wbnd
1209,Stroubles Cr
1222,Tall Oaks/Colonial Sbnd
1211,Tall Oaks/Copper Croft Nbnd
1208,Tall Oaks/Foxtrail Sbnd
1201,Vet School Wbnd
1103,West Campus/Perry Nbnd
HWB
1214,Heather/Huntington Nbnd
1213,Heather/Plymouth Nbnd
1212,Heather/Tall Oaks Nbnd
1204,Hethwood Square on Hethwood
1107,Hutcheson Hall
1104,Old Security Bldg
1215,Prices Fork/Huntington Ebnd
1203,Prices Fork/Huntington Wbnd
1218,Prices Fork/Old Glade Ebnd
1200,Prices Fork/Old Glade Wbnd
1216,Prices Fork/Plantation Ebnd
1202,Prices Fork/Plantation Wbnd
1105,Stanger/Perry Nbnd
1206,Tall Oaks/Foxhunt Ebnd
1207,Tall Oaks/Heather Ebnd
1205,Tall Oaks/Hethwood Ebnd
1114,Torgersen Hall
1201,Vet School Wbnd
1108,War Memorial Hall
1115,Wright House
HDG
1111,Alumni Mall Ebnd
1112,Alumni Mall Wbnd
1511,Ascot/Hampton
1510,Ascot/Harding Ebnd
1512,Ascot/Harding Wbnd
1101,Burruss Hall
1507,Harding/Apperson Ebnd
1515,Harding/Apperson Wbnd
1506,Harding/Patrick Henry Ebnd
1516,Harding/Patrick Henry Wbnd
1509,Harding/Roanoke Ebnd
1513,Harding/Rucker Wbnd
1504,Harding/Silverleaf Ebnd
1517,Harding/Silverleaf Wbnd
1514,Harding/Sutton Wbnd
1508,Harding/Vista Ebnd
1107,Hutcheson Hall
1628,Main St Post Office
1600,Main/Roanoke Sbnd
1500,Roanoke/Church Ebnd
1521,Roanoke/Penn Wbnd
1502,Roanoke/Rutledge Ebnd
1519,Roanoke/Rutledge Wbnd
1501,Roanoke/Wharton Ebnd
1520,Roanoke/Wharton Wbnd
1503,Roanoke/Woolwine Ebnd
1518,Roanoke/Woolwine Wbnd
1110,Squires Ebnd
1113,Squires Wbnd
1108,War Memorial Hall
TOM
1304,Broce/Toms Creek Ebnd
1124,Cassell Coliseum
1301,Gilbert Linkous Nbnd
1116,Litton Reaves Hall
1123,McComas Hall
1100,Newman Library
1104,Old Security Bldg
1309,Patrick Henry/Toms Creek Wbnd
1305,Progress/Broce Nbnd
1307,Progress/Patrick Henry Nbnd
1306,Progress/University Terr Nbnd
1312,Shawnee on University City Sbnd
1311,Shawnee on University City Wbnd
1105,Stanger/Perry Nbnd
1125,Tennis Courts
1308,The Village on Patrick Henry Wbnd
1337,Toms Creek/Hunt Club Nbnd
1303,Toms Creek/McBryde Nbnd
1302,Toms Creek/Watson Nbnd
1300,Toms Creek/Winston Nbnd
1114,Torgerson Hall
1313,University City/Broce Sbnd
1314,University City/Glade Sbnd
1310,University City/Toms Creek Wbnd
1315,University Mall Sbnd
1115,Wright House
UMS
1101,Burruss Hall
1124,Cassell Coliseum
1102,Davidson Hall
1116,Litton Reaves Hall
1123,McComas Hall
1100,Newman Library
1335,Old Glade/Glade Nbnd
1125,Tennis Courts
1336,University Mall Main Entrance
1103,West Campus/Perry Nbnd
1115,Wright House
CBD
1101,Burruss Hall
1221,Carpenter Blvd/Redd Circle
1107,Hutcheson Hall
1100,Newman Library
1104,Old Security Bldg
1215,Prices Fork/Huntington Ebnd
1218,Prices Fork/Old Glade Ebnd
1200,Prices Fork/Old Glade Wbnd
1216,Prices Fork/Plantation Ebnd
1202,Prices Fork/Plantation Wbnd
1106,Stanger/Old Turner Wbnd
1105,Stanger/Perry Nbnd
1114,Torgersen Hall
1201,Vet School Wbnd
1108,War Memorial Hall
MSN
1426,1200 North Main Nbnd
1417,1200 North Main Sbnd
1409,1500 North Main Nbnd
1429,1500 North Main Sbnd
1111,Alumni Mall Ebnd
1112,Alumni Mall Wbnd
1405,Giles/Heights Nbnd
1404,Giles/Northview Nbnd
1406,Giles/Patrick Henry Nbnd
1412,Givens/Main Wbnd
1403,Lucas/Giles Ebnd
1402,Lucas/Main Ebnd
1422,Main/Collegiate Ct Sbnd
1410,Main/Giles Nbnd
1421,Main/Kabrich Sbnd
1424,Main/Lucas Nbnd N
1401,Main/Lucas Nbnd S
1419,Main/Lucas Sbnd
1400,Main/Montgomery Nbnd
1420,Main/Montgomery Sbnd
1425,Main/Northview Nbnd
1418,Main/Northview Sbnd
1427,Main/Patrick Henry Nbnd
1416,Main/Patrick Henry Sbnd
1411,Main/Red Maple Nbnd
1431,Main/Turner Nbnd
1423,Main/Turner Sbnd
1407,Patrick Henry/Giles Wbnd
1408,Patrick Henry/Main Wbnd
1434,Patrick Henry/Seneca Ebnd
1414,Pheasant Run
1415,Seneca/Patrick Henry Sbnd
1110,Squires Ebnd
1113,Squires Wbnd
1428,Whipple/Courtney Sbnd
1413,Whipple/Givens Sbnd
1435,Whipple/Main Sbnd
MSS
1112,Alumni Mall Wbnd
1601,Blacksburg Municipal Building
1620,Blacksburg Square
1609,Fairfax/Ellett Ebnd
1610,Fairfax/New Kent Ebnd
1607,Gables Shopping Center
1613,Grissom/Nellies Cave Nbnd
1636,Industrial Park/Transportation Res Ebnd
1628,Main St Post Office
1605,Main/Airport Sbnd
1619,Main/Ardmore Nbnd
1626,Main/Clay Nbnd
1621,Main/Cohee Nbnd
1639,Main/Dowdy Nbnd
1643,Main/Dowdy Sbnd
1625,Main/Eakin Nbnd
1603,Main/Eakin Sbnd
1602,Main/Eheart Sbnd
1606,Main/Faystone Sbnd
1623,Main/Graves Nbnd
1624,Main/Hemlock Nbnd
1635,Main/Hemlock Sbnd
1648,Main/King Sbnd
1618,Main/Landsdowne Nbnd
1608,Main/Landsdowne Sbnd
1627,Main/Lee Nbnd
1600,Main/Roanoke Sbnd
1640,Main/S Hill Nbnd
1642,Main/S Hill Sbnd
1644,Main/South Park Sbnd
1622,Main/Sunset Nbnd
1615,Marlington/Emerald Wbnd
1616,Marlington/Grayland Wbnd
1614,Marlington/Grissom Wbnd
1611,New Kent/Loudon Ebnd
1612,New Kent/Sussex Ebnd
1638,Professional Park Nbnd
1637,Prosperity/Industrial Park Nbnd
1110,Squires Ebnd
1113,Squires Wbnd
PHD
1112,Alumni Mall Wbnd
1405,Giles/Heights Nbnd
1404,Giles/Northview Nbnd
1406,Giles/Patrick Henry Nbnd
1403,Lucas/Giles Ebnd
1402,Lucas/Main Ebnd
1422,Main/Collegiate Ct Sbnd
1421,Main/Kabrich Sbnd
1401,Main/Lucas Nbnd S
1400,Main/Montgomery Nbnd
1423,Main/Turner Sbnd
1104,Old Security Bldg
1407,Patrick Henry/Giles Wbnd
1408,Patrick Henry/Main Wbnd
1438,Patrick Henry/Mary Jane Wbnd
1414,Pheasant Run
1334,Prices Fork/Turner Ebnd
1328,Progress/Broce Sbnd
1326,Progress/Hunt Club Sbnd
1327,Progress/University Terr Sbnd
1340,Progress/Watson Sbnd
1415,Seneca/Patrick Henry Sbnd
1113,Squires Wbnd
1105,Stanger/Perry Nbnd
1114,Torgersen Hall 
PRB
1409,1500 North Main Nbnd
1429,1500 North Main Sbnd
1111,Alumni Mall Ebnd
1112,Alumni Mall Wbnd
1412,Givens/Main Wbnd
1436,Givens/Whipple Ebnd
1437,Givens/Yale Ebnd
1422,Main/Collegiate Ct Sbnd
1410,Main/Giles Nbnd
1421,Main/Kabrich Sbnd
1411,Main/Red Maple Nbnd
1431,Main/Turner Nbnd
1423,Main/Turner Sbnd
1433,Patrick Henry/Mary Jane Ebnd
1438,Patrick Henry/Mary Jane Wbnd
1434,Patrick Henry/Seneca Ebnd
1305,Progress/Broce Nbnd
1328,Progress/Broce Sbnd
1326,Progress/Hunt Club Sbnd
1307,Progress/Patrick Henry Nbnd
1306,Progress/University Terr Nbnd
1327,Progress/University Terr Sbnd
1339,Progress/Watson Nbnd
1340,Progress/Watson Sbnd
1110,Squires Ebnd
1113,Squires Wbnd
1428,Whipple/Courtney Sbnd
1413,Whipple/Givens Sbnd
1435,Whipple/Main Sbnd
PRO
1111,Alumni Mall Ebnd
1332,Gilbert Linkous Sbnd
1431,Main/Turner Nbnd
1309,Patrick Henry/Toms Creek Wbnd
1305,Progress/Broce Nbnd
1307,Progress/Patrick Henry Nbnd
1306,Progress/University Terr Nbnd
1339,Progress/Watson Nbnd
1110,Squires Ebnd
1106,Stanger/Old Turner Wbnd
1308,The Village on Patrick Henry Wbnd
1338,Toms Creek/Hunt Club Sbnd
1330,Toms Creek/McBryde Sbnd
1331,Toms Creek/Watson Sbnd
1333,Toms Creek/Winston Sbnd
MSA
1655,Airport/Fairview Sbnd
1111,Alumni Mall Ebnd
1112,Alumni Mall Wbnd
1601,Blacksburg Municipal Building
1620,Blacksburg Square
1654,Country Club/Airport Wbnd
1653,Country Club/Draper Wbnd
1652,Country Club/Main Wbnd
1609,Fairfax/Ellett Ebnd
1610,Fairfax/New Kent Ebnd
1613,Grissom/Nellies Cave Nbnd
1656,Hubbard/Kennedy Ebnd
1628,Main St Post Office
1605,Main/Airport Sbnd
1619,Main/Ardmore Nbnd
1626,Main/Clay Nbnd
1621,Main/Cohee Nbnd
1625,Main/Eakin Nbnd
1603,Main/Eakin Sbnd
1602,Main/Eheart Sbnd
1606,Main/Faystone Sbnd
1623,Main/Graves Nbnd
1624,Main/Hemlock Nbnd
1635,Main/Hemlock Sbnd
1618,Main/Landsdowne Nbnd
1627,Main/Lee Nbnd
1600,Main/Roanoke Sbnd
1622,Main/Sunset Nbnd
1615,Marlington/Emerald Wbnd
1616,Marlington/Grayland Wbnd
1614,Marlington/Grissom Wbnd
1611,New Kent/Loudon Ebnd
1612,New Kent/Sussex Ebnd
1110,Squires Ebnd
1113,Squires Wbnd
TTT
2206,Arbor/Market
2204,DMV on Arbor
2202,Laurel/Sycamore
1803,LewisGale Hospital Montgomery
1628,Main St Post Office
1619,Main/Ardmore Nbnd
1608,Main/Landsdowne Sbnd
1600,Main/Roanoke Sbnd
1800,New River Valley Mall
1801,NRV Theatre
2205,Post Office on Arbor
2226,Shoppers Way Ebnd
2209,Shoppers Way Wbnd
1110,Squires Ebnd
1802,Wal Mart
UCB
1101,Burruss Hall
1102,Davidson Hall
1421,Main/Kabrich Sbnd
1325,Patrick Henry/Progress Ebnd
1323,Patrick Henry/Toms Creek Ebnd
1328,Progress/Broce Sbnd
1326,Progress/Hunt Club Sbnd
1327,Progress/University Terr Sbnd
1340,Progress/Watson Sbnd
1320,Shawnee on University City Ebnd
1319,Shawnee on University City Nbnd
1106,Stanger/Old Turner Wbnd
1324,The Village on Patrick Henry Ebnd
1318,University City/Broce Nbnd
1322,University City/Toms Creek Ebnd
1316,University Mall Nbnd
1103,West Campus/Perry Nbnd
