time,routeName,bus ID,LastStopName,stopCode,IsBusAtStop,IsTimePoint,latestEventTime,number of passengers remaining,percent of capacity
2020-09-13 14:08:56.719454,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:08:41-04:00,12,15%
2020-09-13 14:09:16.841322,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:08:58-04:00,12,15%
2020-09-13 14:09:36.969434,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:09:28-04:00,12,15%
2020-09-13 14:09:57.111364,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:09:28-04:00,12,15%
2020-09-13 14:10:17.236958,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:09:58-04:00,12,15%
2020-09-13 14:10:37.376369,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:10:28-04:00,12,15%
2020-09-13 14:10:57.484025,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:10:46-04:00,12,15%
2020-09-13 14:11:17.612388,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:10:58-04:00,12,15%
2020-09-13 14:11:37.727711,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:11:28-04:00,12,15%
2020-09-13 14:11:57.848477,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:11:48-04:00,12,15%
2020-09-13 14:12:17.963110,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:11:58-04:00,12,15%
2020-09-13 14:12:38.083995,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:12:28-04:00,12,15%
2020-09-13 14:12:58.191099,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:12:48-04:00,12,15%
2020-09-13 14:13:18.306534,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:12:58-04:00,12,15%
2020-09-13 14:13:38.423184,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:13:28-04:00,12,15%
2020-09-13 14:13:58.554369,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:13:51-04:00,12,15%
2020-09-13 14:14:18.673459,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:13:58-04:00,12,15%
2020-09-13 14:14:38.803114,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:14:28-04:00,12,15%
2020-09-13 14:14:58.910803,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:14:52-04:00,12,15%
2020-09-13 14:15:19.038177,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:15:06-04:00,12,15%
2020-09-13 14:15:39.166680,UCB,1916,Burruss Hall,1101,N,Y,2020-09-13T14:15:33-04:00,15,19%
